iter	Passed	Remaining
0	85	16925
1	168	16656
2	261	17140
3	321	15772
44	482	1882455	553	1790166	641	1767677	724	1737988	830	1761699	923	1754010	987	16961
11	1060	16607112	1181	17000
13	1248	16583114	1359	16770
15	1438	16542116	1505	16209117	1566	15837118	1668	15894119	1736	15627220	1805	153892221	1970	15942222	2060	15852323	2137	15672424	2247	15732525	2339	15652626	2430	15572727	2574	15812828	2661	15692929	2732	15483030	2810	15323131	2894	15193232	2967	15013333	3050	14893434	3203	15103535	3299	15023636	3427	15093737	3526	15033838	3616	14923939	3694	14774040	3815	14794141	3889	14634242	3965	14474343	4038	14314444	4134	14244545	4214	14104646	4326	14084747	4424	14014848	4498	13864949	4573	13715050	4643	13565151	4760	13545252	4842	13435353	4922	13305454	5028	13255555	5107	13135656	5187	13015757	5263	128858	5297	12660
59	5380	12555
60	5482	12491
61	5617	12503
62	5690	12373
63	5749	12217
64	5853	12157
65	5913	12006
666	6100	12109667	6178	11993668	6235	11838669	6285	11672770	6373	11579771	6478	11516
72	6573	11435
73	6666	11351
74	6730	11217
75	6782	11066
76	6830	10910
77	6881	10762
78	6964	10667
79	7029	10544
80	7098	10429881	7167	10314
82	7237	10201
83	7302	10083
84	7353	9985	85	7429	9848
86	7477	9787	7409	9430
88	7471	9318
89	7600	9288
90	7683	9203
91	7741	9087
92	7844	9024
93	7913	8923
94	7973	8812
95	8031	8700
96	8125	8628
97	8205	8540
98	8260	8427
99	8364	8364
100	8413	8247
101	8526	8191
102	8601	8100
103	8673	8006
104	8758	7923
105	8826	7827
106	8895	7731
107	8971	7642
108	9065	7568
109	9154	7489
110	9253	7419
111	9312	7316
112	9385	7226
113	9443	7124
114	9536	7048
115	9603	6953
116	9658	6851
117	9735	6765
118	9807	6675
119	9871	6580
120	9959	6502
121	10034	6415
122	10135	6344
123	10224	6266
124	10298	6178
125	10412	6115
126	10498	6034
127	10626	5977
128	10684	5880
129	10787	5808
130	10836	5707
131	10924	5627
132	11015	5549
133	11065	5450
134	11124	5356
135	11179	5261
136	11233	5165
137	11295	5074
138	11347	4979
139	11410	4890
140	11457	4794
141	11509	4701
142	11570	4612
143	11619	4518
144	11669	4426
145	11714	4332
146	11791	4251
147	11852	4164
148	11897	4072
149	11933	3977
150	11965	3882
151	11997	3788
152	12025	3693
153	12055	3601
154	12082	3507
155	12110	3415
156	12134	3323
157	12159	3232
158	12183	3141
159	12209	3052
160	12235	2963
161	12263	2876
162	12289	2789
163	12315	2703
164	12339	2617
165	12365	2532
166	12389	2448
167	12415	2364
168	12440	2281
169	12468	2200
170	12492	2118
171	12521	2038
172	12548	1958
173	12578	1879
174	12611	1801
175	12640	1723
176	12669	1646
177	12698	1569
178	12733	1493
179	12762	1418
180	12789	1342
181	12821	1268
182	12853	1194
183	12880	1120
184	12911	1046
185	12942	974
186	12973	901
187	13000	829
188	13021	757
189	13040	686
190	13058	615
191	13080	545
192	13096	475
193	13114	405
194	13127	336
195	13141	268
196	13156	200
197	13171	133
198	13184	66
199	13198	0
