city_name,country,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,dominant_pollutant,aqi_category
Manila,Philippines,113,79.3,106.5,137,104.9,PM2.5,Unhealthy for Sensitive Groups
Honolulu,USA,9.1,6.7,6.3,19.2,29.5,PM2.5,Good
Shanghai,China,264.3,250.9,196.4,259,223,CO,Very Unhealthy
Dhaka,Bangladesh,3.3,7.7,19.8,20.1,11.5,PM2.5,Good
Beijing,China,104.2,132.5,80.9,124.8,102.5,Ozone,Unhealthy for Sensitive Groups
Seattle,USA,398.9,390.5,259.9,371.3,360.5,CO,Hazardous
Perth,Australia,144.4,129.7,152.1,195.2,198.7,PM2.5,Unhealthy
Tehran,Iran,174.4,127.4,156,133.3,154.6,CO,Unhealthy
Karachi,Pakistan,110.8,179,123.1,161.2,160,Ozone,Unhealthy
Budapest,Hungary,7.7,1.6,1.2,15.2,45.5,PM2.5,Good
Brussels,Belgium,270.1,441.8,376,340.5,310.8,Ozone,Hazardous
Vienna,Austria,8.9,30.3,9.2,3.9,40.1,Ozone,Good
Honolulu,USA,178.9,287.6,185.6,233.8,258.7,Ozone,Very Unhealthy
Brisbane,Australia,77,64.2,60.1,64.8,73.4,CO,Moderate
Peshawar,Pakistan,440.1,345.5,415.3,389.9,416.1,CO,Hazardous
Bucharest,Romania,470,380.1,428.2,397.2,410.1,CO,Hazardous
Kuwait City,Kuwait,98.9,81.2,84,118.9,124.7,PM2.5,Unhealthy for Sensitive Groups
Singapore,Singapore,34.1,37.6,67,53.3,75.5,NO2,Moderate
Cairo,Egypt,34.6,73.8,30.2,75.2,67.2,PM2.5,Moderate
Lahore,Pakistan,68.7,130.2,87.3,83.4,131.5,Ozone,Unhealthy for Sensitive Groups
Melbourne,Australia,75.6,123.4,119.6,126.2,102,PM2.5,Unhealthy for Sensitive Groups
Johannesburg,South Africa,166.1,270.5,213.4,298.8,223.1,PM2.5,Very Unhealthy
Agra,India,167.1,150.7,127.3,195.2,166.5,PM2.5,Unhealthy
Zabol,Iran,129.6,147.1,159.9,133.9,188.2,NO2,Unhealthy
Portland,USA,268.7,265.9,450.8,402.3,421.7,NO2,Hazardous
Berlin,Germany,17.6,31.2,26.9,31.4,0.5,PM2.5,Good
Bangkok,Thailand,7.9,36.4,11.8,2.1,18.3,Ozone,Good
Chennai,India,233.6,257.4,243,299.5,298.5,PM2.5,Very Unhealthy
Istanbul,Turkey,147.5,142,160.9,142.6,180.2,NO2,Unhealthy
Warsaw,Poland,341.8,341.9,445.1,356.9,351.9,NO2,Hazardous
Madrid,Spain,170.5,143.5,145.2,135.1,169.2,CO,Unhealthy
Ho Chi Minh City,Vietnam,9.7,32.7,18.8,15.8,12.5,Ozone,Good
São Paulo,Brazil,233.1,180.5,161.9,262.2,292.7,PM2.5,Very Unhealthy
Cairo,Egypt,247.7,180.2,213.2,219.3,263.6,CO,Very Unhealthy
Cairo,Egypt,246.6,213.8,227.2,228,203.6,CO,Very Unhealthy
Singapore,Singapore,87.7,123.2,95.6,89.7,145,Ozone,Unhealthy for Sensitive Groups
Cape Town,South Africa,177.2,142.7,125.8,185,184.8,PM2.5,Unhealthy
Brisbane,Australia,149.1,153.3,170.8,145.9,198.1,NO2,Unhealthy
Cairo,Egypt,177.3,124.5,122.2,138.1,185.1,CO,Unhealthy
London,UK,129.2,112.2,91,91.1,131,CO,Unhealthy for Sensitive Groups
Los Angeles,USA,118.4,170.1,159.9,176.8,164.3,PM2.5,Unhealthy
Reykjavik,Iceland,222.8,230.5,259.8,205,288.7,NO2,Very Unhealthy
Hong Kong,China,166.2,170.3,131.1,158.5,157.5,Ozone,Unhealthy
Zurich,Switzerland,162.9,187.4,103.3,179.7,154.1,Ozone,Unhealthy
Oslo,Norway,253.7,251.6,262.3,285.5,237.8,PM2.5,Very Unhealthy
Hanoi,Vietnam,268.5,181.1,248.9,209,251.9,CO,Very Unhealthy
Mumbai,India,169,249.7,173.6,217,218.4,Ozone,Very Unhealthy
Honolulu,USA,269.5,283,223.3,203.7,266.2,Ozone,Very Unhealthy
Chennai,India,128.9,163.8,138.2,193.9,154.2,PM2.5,Unhealthy
Chengdu,China,160.2,268,198.8,224.6,289.8,Ozone,Very Unhealthy
Vienna,Austria,36.5,49.8,29.1,67.6,71.9,PM2.5,Moderate
Guangzhou,China,236.9,284.1,172.2,295.9,228.5,PM2.5,Very Unhealthy
Faridabad,India,80.7,95.6,75.7,103,111.8,PM2.5,Unhealthy for Sensitive Groups
Vancouver,Canada,116.7,120.9,88.6,122.8,104.4,PM2.5,Unhealthy for Sensitive Groups
Melbourne,Australia,197.6,206.6,248.6,287.8,240.8,PM2.5,Very Unhealthy
New York,USA,109.4,91.4,90,135.7,138.7,PM2.5,Unhealthy for Sensitive Groups
Lahore,Pakistan,313.8,340.6,359.3,417.4,389.6,PM2.5,Hazardous
Mexico City,Mexico,147.7,148.6,147.7,145.6,180.7,Ozone,Unhealthy
Bucharest,Romania,190.7,184.1,268.9,292.3,236.1,PM2.5,Very Unhealthy
Tashkent,Uzbekistan,126.8,153.5,171,136.2,155,NO2,Unhealthy
