date,city_name,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,aqi_category
2025-03-30,Agra,114.6,130.4,121.2,141.8,135.1,Unhealthy for Sensitive Groups
2025-03-31,Agra,148.9,160.9,134.5,152.2,169.3,Unhealthy
2025-04-01,Agra,163.6,167.9,156.8,164.1,184.7,Unhealthy
2025-04-02,Agra,168.0,166.1,159.5,168.6,189.5,Unhealthy
2025-04-03,Agra,144.5,162.4,146.6,156.8,161.0,Unhealthy
2025-04-04,Agra,161.7,176.0,149.3,178.9,169.1,Unhealthy
2025-04-05,Agra,128.8,139.2,116.2,125.6,151.5,Unhealthy
2025-04-06,Agra,118.4,130.1,106.1,135.7,136.2,Unhealthy for Sensitive Groups
2025-04-07,Agra,153.5,162.2,151.3,168.3,168.3,Unhealthy
2025-04-08,Agra,145.9,159.3,153.1,159.9,170.0,Unhealthy
2025-04-09,Agra,165.7,156.5,158.3,173.0,170.0,Unhealthy
2025-04-10,Agra,169.5,179.8,176.1,184.6,207.0,Very Unhealthy
2025-04-11,Agra,160.9,170.1,148.8,186.6,194.3,Unhealthy
2025-04-12,Agra,119.8,136.0,112.4,123.7,132.2,Unhealthy for Sensitive Groups
2025-04-13,Agra,140.6,151.4,134.7,151.4,167.5,Unhealthy
2025-04-14,Agra,177.3,177.8,168.5,188.2,188.2,Unhealthy
2025-04-15,Agra,153.8,183.3,165.5,186.3,201.5,Very Unhealthy
2025-04-16,Agra,156.1,178.4,153.9,173.2,178.6,Unhealthy
2025-04-17,Agra,178.0,172.6,165.2,185.8,203.9,Very Unhealthy
2025-04-18,Agra,160.0,168.4,160.5,177.2,176.1,Unhealthy
2025-04-19,Agra,144.0,135.1,128.6,156.6,150.8,Unhealthy
2025-04-20,Agra,139.6,139.2,141.3,132.7,142.6,Unhealthy for Sensitive Groups
2025-04-21,Agra,160.8,161.0,143.8,158.1,174.2,Unhealthy
2025-04-22,Agra,143.4,151.7,159.1,159.5,171.0,Unhealthy
2025-04-23,Agra,174.3,188.5,179.2,196.7,213.1,Very Unhealthy
2025-04-24,Agra,173.5,163.0,155.7,158.2,165.1,Unhealthy
2025-04-25,Agra,175.0,186.9,167.1,192.2,195.7,Unhealthy
2025-04-26,Agra,121.8,127.1,131.7,134.4,155.8,Unhealthy
2025-04-27,Agra,127.3,136.4,121.1,139.8,131.3,Unhealthy for Sensitive Groups
2025-04-28,Agra,159.9,158.5,148.2,172.0,183.8,Unhealthy
2025-04-29,Agra,184.8,187.3,190.4,192.0,188.5,Unhealthy
2025-04-30,Agra,170.1,169.1,168.8,183.4,200.1,Very Unhealthy
2025-05-01,Agra,146.4,159.1,139.7,166.4,176.7,Unhealthy
2025-05-02,Agra,154.6,165.2,143.5,172.3,182.3,Unhealthy
2025-05-03,Agra,129.5,126.8,131.6,139.4,153.0,Unhealthy
2025-05-04,Agra,139.0,125.9,120.5,146.7,153.8,Unhealthy
2025-05-05,Agra,175.2,189.0,180.2,190.4,210.7,Very Unhealthy
2025-05-06,Agra,180.1,177.4,173.1,181.6,194.8,Unhealthy
2025-05-07,Agra,165.4,168.3,147.9,183.0,185.2,Unhealthy
2025-05-08,Agra,148.6,150.5,151.5,161.5,159.5,Unhealthy
2025-05-09,Agra,176.0,169.2,184.0,201.8,207.4,Very Unhealthy
2025-05-10,Agra,144.2,128.1,135.3,144.8,164.5,Unhealthy
2025-05-11,Agra,118.8,142.4,118.4,132.8,144.5,Unhealthy for Sensitive Groups
2025-05-12,Agra,158.1,167.4,171.7,202.1,202.5,Very Unhealthy
2025-05-13,Agra,155.1,157.2,154.0,189.6,182.7,Unhealthy
2025-05-14,Agra,155.3,167.0,148.5,189.6,172.8,Unhealthy
2025-05-15,Agra,166.5,170.8,163.0,201.1,194.3,Unhealthy
2025-05-16,Agra,158.8,159.9,143.3,166.0,170.0,Unhealthy
2025-05-17,Agra,123.1,152.7,128.7,166.1,162.0,Unhealthy
2025-05-18,Agra,123.7,130.4,115.0,132.2,136.2,Unhealthy for Sensitive Groups
2025-05-19,Agra,169.7,178.8,176.1,201.3,201.7,Very Unhealthy
2025-05-20,Agra,177.3,173.7,163.9,194.1,202.3,Very Unhealthy
2025-05-21,Agra,165.8,177.0,169.0,204.1,217.2,Very Unhealthy
2025-05-22,Agra,168.1,188.5,166.5,191.9,192.7,Unhealthy
2025-05-23,Agra,157.5,161.3,168.5,182.0,166.6,Unhealthy
2025-05-24,Agra,118.4,135.7,123.8,137.4,144.0,Unhealthy for Sensitive Groups
2025-05-25,Agra,110.5,120.4,97.3,140.1,129.2,Unhealthy for Sensitive Groups
2025-05-26,Agra,156.6,160.0,142.1,157.1,173.7,Unhealthy
2025-05-27,Agra,146.3,157.3,149.1,169.6,180.1,Unhealthy
2025-05-28,Agra,174.1,179.5,170.9,195.7,214.9,Very Unhealthy
2025-05-29,Agra,158.4,167.2,151.0,174.3,193.8,Unhealthy
2025-05-30,Agra,171.5,171.8,163.8,185.9,185.5,Unhealthy
2025-05-31,Agra,119.6,131.6,119.0,129.9,154.9,Unhealthy
2025-06-01,Agra,107.8,125.7,96.2,121.0,120.9,Unhealthy for Sensitive Groups
2025-06-02,Agra,117.8,131.0,104.7,135.3,133.8,Unhealthy for Sensitive Groups
2025-06-03,Agra,116.6,126.0,124.0,140.5,160.2,Unhealthy
2025-06-04,Agra,129.7,138.2,127.1,148.4,148.9,Unhealthy for Sensitive Groups
2025-06-05,Agra,139.0,154.9,132.5,138.5,171.0,Unhealthy
2025-06-06,Agra,144.8,150.8,120.9,148.0,161.7,Unhealthy
2025-06-07,Agra,107.8,112.7,105.3,114.0,128.5,Unhealthy for Sensitive Groups
2025-06-08,Agra,89.7,108.1,104.5,121.0,106.7,Unhealthy for Sensitive Groups
2025-06-09,Agra,132.7,152.5,131.8,156.3,154.3,Unhealthy
2025-06-10,Agra,139.4,138.5,120.6,141.2,162.8,Unhealthy
2025-06-11,Agra,129.5,136.2,106.7,124.2,122.9,Unhealthy for Sensitive Groups
2025-06-12,Agra,142.5,130.1,133.4,164.1,169.0,Unhealthy
2025-06-13,Agra,144.7,134.9,137.6,157.7,161.8,Unhealthy
2025-06-14,Agra,109.0,93.7,96.8,108.9,105.4,Unhealthy for Sensitive Groups
2025-06-15,Agra,101.3,101.2,101.7,98.3,115.6,Unhealthy for Sensitive Groups
2025-06-16,Agra,116.4,123.2,108.5,131.6,140.0,Unhealthy for Sensitive Groups
2025-06-17,Agra,118.5,135.6,133.0,146.4,152.5,Unhealthy
2025-06-18,Agra,133.0,148.6,130.4,140.7,177.8,Unhealthy
2025-06-19,Agra,124.7,145.0,121.5,142.8,147.4,Unhealthy for Sensitive Groups
2025-06-20,Agra,123.6,136.8,137.9,122.4,142.2,Unhealthy for Sensitive Groups
2025-06-21,Agra,91.6,97.4,87.7,120.5,119.5,Unhealthy for Sensitive Groups
2025-06-22,Agra,100.2,111.0,120.6,124.2,117.8,Unhealthy for Sensitive Groups
2025-06-23,Agra,132.5,119.0,107.2,138.8,153.7,Unhealthy
2025-06-24,Agra,126.9,132.9,120.4,135.9,140.5,Unhealthy for Sensitive Groups
2025-06-25,Agra,117.0,122.1,111.8,132.6,131.6,Unhealthy for Sensitive Groups
2025-06-26,Agra,131.0,132.8,126.1,141.5,139.9,Unhealthy for Sensitive Groups
